"study","treatment","r","n","y","sd"
"UNCOVER 1",NA,153,433,NA,NA
"UNCOVER 1",NA,145,432,NA,NA
"UNCOVER 1",NA,0,431,NA,NA
"UNCOVER 2",NA,142,351,NA,NA
"UNCOVER 2",NA,107,347,NA,NA
"UNCOVER 2",NA,19,358,NA,NA
"UNCOVER 2",NA,1,168,NA,NA
"UNCOVER 3",NA,145,385,NA,NA
"UNCOVER 3",NA,135,386,NA,NA
"UNCOVER 3",NA,28,382,NA,NA
"UNCOVER 3",NA,0,193,NA,NA
"Langley et al (2018)",NA,220,616,NA,NA
"Langley et al (2018)",NA,281,611,NA,NA
"IXORA-S",NA,24,166,NA,NA
"IXORA-S",NA,49,136,NA,NA
"ERASURE",NA,70,245,NA,NA
"ERASURE",NA,31,245,NA,NA
"ERASURE",NA,2,248,NA,NA
"FIXTURE",NA,79,327,NA,NA
"FIXTURE",NA,47,327,NA,NA
"FIXTURE",NA,14,326,NA,NA
"FIXTURE",NA,0,326,NA,NA
"CLEAR",NA,131,337,NA,NA
"CLEAR",NA,87,339,NA,NA
"FEATURE",NA,25,59,NA,NA
"FEATURE",NA,5,59,NA,NA
"FEATURE",NA,0,59,NA,NA
"JUNCTURE",NA,16,60,NA,NA
"JUNCTURE",NA,10,61,NA,NA
"JUNCTURE",NA,0,61,NA,NA
"AMAGINE-1",NA,93,222,NA,NA
"AMAGINE-1",NA,51,219,NA,NA
"AMAGINE-1",NA,1,220,NA,NA
"AMAGINE-2",NA,272,612,NA,NA
"AMAGINE-2",NA,157,610,NA,NA
"AMAGINE-2",NA,65,300,NA,NA
"AMAGINE-2",NA,2,309,NA,NA
"AMAGINE-3",NA,229,624,NA,NA
"AMAGINE-3",NA,170,629,NA,NA
"AMAGINE-3",NA,58,313,NA,NA
"AMAGINE-3",NA,1,315,NA,NA
"VOYAGE 1",NA,70,329,NA,NA
"VOYAGE 1",NA,46,334,NA,NA
"VOYAGE 1",NA,0,174,NA,NA
"VOYAGE 2",NA,114,496,NA,NA
"VOYAGE 2",NA,38,248,NA,NA
"reSURFACE 1",NA,43,308,NA,NA
"reSURFACE 1",NA,43,309,NA,NA
"reSURFACE 1",NA,2,155,NA,NA
"reSURFACE 2",NA,37,314,NA,NA
"reSURFACE 2",NA,38,307,NA,NA
"reSURFACE 2",NA,15,313,NA,NA
"reSURFACE 2",NA,0,156,NA,NA
"Saurat et al (2008)",NA,12,108,NA,NA
"Saurat et al (2008)",NA,0,53,NA,NA
"NCT01646073",NA,45,338,NA,NA
"NCT01646073",NA,3,87,NA,NA
