"study","treatment","r","n","y","sd"
1,NA,6,22,NA,NA
1,NA,14,30,NA,NA
2,NA,213,467,NA,NA
2,NA,229,472,NA,NA
3,NA,15,160,NA,NA
3,NA,48,174,NA,NA
4,NA,55,177,NA,NA
4,NA,200,351,NA,NA
5,NA,52,167,NA,NA
5,NA,195,331,NA,NA
6,NA,13,63,NA,NA
6,NA,48,98,NA,NA
6,NA,56,99,NA,NA
7,NA,35,138,NA,NA
7,NA,47,150,NA,NA
7,NA,39,141,NA,NA
7,NA,49,152,NA,NA
8,NA,28,114,NA,NA
8,NA,49,115,NA,NA
9,NA,14,241,NA,NA
9,NA,45,226,NA,NA
10,NA,43,195,NA,NA
10,NA,61,173,NA,NA
10,NA,93,197,NA,NA
11,NA,14,99,NA,NA
11,NA,33,99,NA,NA
12,NA,84,456,NA,NA
12,NA,180,448,NA,NA
12,NA,219,462,NA,NA
13,NA,53,436,NA,NA
13,NA,178,454,NA,NA
13,NA,207,440,NA,NA
14,NA,57,273,NA,NA
14,NA,116,276,NA,NA
15,NA,21,100,NA,NA
15,NA,58,110,NA,NA
15,NA,77,103,NA,NA
16,NA,25,126,NA,NA
16,NA,54,126,NA,NA
17,NA,28,138,NA,NA
17,NA,38,137,NA,NA
18,NA,22,152,NA,NA
18,NA,33,135,NA,NA
19,NA,185,550,NA,NA
19,NA,208,547,NA,NA
20,NA,152,554,NA,NA
20,NA,179,536,NA,NA
21,NA,8,135,NA,NA
21,NA,115,359,NA,NA
21,NA,157,360,NA,NA
21,NA,99,376,NA,NA
22,NA,17,89,NA,NA
22,NA,64,184,NA,NA
22,NA,34,191,NA,NA
23,NA,34,118,NA,NA
23,NA,59,116,NA,NA
23,NA,70,115,NA,NA
24,NA,34,117,NA,NA
24,NA,59,122,NA,NA
24,NA,61,115,NA,NA
25,NA,35,119,NA,NA
25,NA,59,111,NA,NA
25,NA,66,107,NA,NA
26,NA,5,74,NA,NA
26,NA,54,154,NA,NA
26,NA,64,152,NA,NA
27,NA,20,404,NA,NA
27,NA,280,779,NA,NA
27,NA,216,799,NA,NA
28,NA,12,292,NA,NA
28,NA,41,290,NA,NA
28,NA,80,296,NA,NA
28,NA,84,312,NA,NA
29,NA,15,99,NA,NA
29,NA,65,193,NA,NA
29,NA,51,183,NA,NA
29,NA,66,191,NA,NA
30,NA,10,79,NA,NA
30,NA,19,80,NA,NA
30,NA,17,76,NA,NA
30,NA,21,74,NA,NA
31,NA,7,49,NA,NA
31,NA,8,47,NA,NA
31,NA,10,54,NA,NA
31,NA,12,52,NA,NA
32,NA,2,104,NA,NA
32,NA,29,204,NA,NA
33,NA,11,378,NA,NA
33,NA,95,733,NA,NA
34,NA,6,242,NA,NA
34,NA,43,475,NA,NA
35,NA,6,188,NA,NA
35,NA,27,207,NA,NA
35,NA,29,200,NA,NA
36,NA,7,232,NA,NA
36,NA,138,430,NA,NA
36,NA,152,446,NA,NA
37,NA,17,236,NA,NA
37,NA,60,220,NA,NA
38,NA,5,102,NA,NA
38,NA,58,206,NA,NA
38,NA,79,209,NA,NA
39,NA,9,80,NA,NA
39,NA,62,164,NA,NA
39,NA,73,161,NA,NA
40,NA,143,582,NA,NA
40,NA,106,591,NA,NA
41,NA,6,53,NA,NA
41,NA,49,147,NA,NA
42,NA,15,159,NA,NA
42,NA,127,387,NA,NA
42,NA,41,164,NA,NA
42,NA,155,385,NA,NA
43,NA,27,176,NA,NA
43,NA,103,360,NA,NA
43,NA,144,373,NA,NA
44,NA,14,146,NA,NA
44,NA,103,289,NA,NA
44,NA,126,292,NA,NA
45,NA,3,107,NA,NA
45,NA,6,99,NA,NA
46,NA,8,126,NA,NA
46,NA,25,129,NA,NA
46,NA,26,115,NA,NA
47,NA,9,107,NA,NA
47,NA,44,213,NA,NA
47,NA,90,201,NA,NA
48,NA,18,185,NA,NA
48,NA,64,182,NA,NA
48,NA,79,188,NA,NA
49,NA,6,82,NA,NA
49,NA,142,320,NA,NA
50,NA,3,41,NA,NA
50,NA,21,42,NA,NA
51,NA,9,92,NA,NA
51,NA,39,178,NA,NA
52,NA,8,121,NA,NA
52,NA,81,245,NA,NA
52,NA,89,248,NA,NA
53,NA,2,67,NA,NA
53,NA,29,130,NA,NA
53,NA,40,145,NA,NA
53,NA,7,75,NA,NA
54,NA,3,85,NA,NA
54,NA,16,72,NA,NA
54,NA,23,89,NA,NA
55,NA,1,20,NA,NA
55,NA,2,22,NA,NA
55,NA,3,21,NA,NA
55,NA,8,21,NA,NA
56,NA,5,65,NA,NA
56,NA,14,66,NA,NA
56,NA,10,62,NA,NA
56,NA,15,66,NA,NA
57,NA,10,81,NA,NA
57,NA,34,142,NA,NA
58,NA,8,134,NA,NA
58,NA,32,136,NA,NA
59,NA,4,75,NA,NA
59,NA,31,120,NA,NA
60,NA,27,96,NA,NA
60,NA,61,92,NA,NA
61,NA,33,348,NA,NA
61,NA,107,345,NA,NA
62,NA,6,39,NA,NA
62,NA,11,43,NA,NA
63,NA,42,205,NA,NA
63,NA,88,198,NA,NA
64,NA,16,115,NA,NA
64,NA,11,34,NA,NA
65,NA,1,50,NA,NA
65,NA,20,53,NA,NA
66,NA,6,70,NA,NA
66,NA,24,69,NA,NA
67,NA,33,360,NA,NA
67,NA,90,361,NA,NA
68,NA,37,382,NA,NA
68,NA,82,362,NA,NA
69,NA,22,107,NA,NA
69,NA,36,108,NA,NA
70,NA,37,155,NA,NA
70,NA,60,162,NA,NA
