"study","treatment","r","n"
"1","1",9,140
"1","3",23,140
"1","4",10,138
"2","2",11,78
"2","3",12,85
"2","4",29,170
"3","1",75,731
"3","3",363,714
"4","1",2,106
"4","3",9,205
"5","1",58,549
"5","3",237,1561
"6","1",0,33
"6","3",9,48
"7","1",3,100
"7","3",31,98
"8","1",1,31
"8","3",26,95
"9","1",6,39
"9","3",17,77
"10","1",79,702
"10","2",77,694
"11","1",18,671
"11","2",21,535
"12","1",64,642
"12","3",107,761
"13","1",5,62
"13","3",8,90
"14","1",20,234
"14","3",34,237
"15","1",0,20
"15","4",9,20
"16","1",8,116
"16","2",19,149
"17","1",95,1107
"17","3",143,1031
"18","1",15,187
"18","3",36,504
"19","1",78,584
"19","3",73,675
"20","1",69,1177
"20","3",54,888
"21","2",20,49
"21","3",16,43
"22","2",7,66
"22","4",32,127
"23","3",12,76
"23","4",20,74
"24","3",9,55
"24","4",3,26
