"study","treatment","r","n"
"1","Placebo",256,2223
"1","Statin",182,2221
"2","Placebo",4,125
"2","Statin",1,129
"3","Placebo",0,52
"3","Statin",1,94
"4","Placebo",2,166
"4","Statin",2,165
"5","Placebo",77,3301
"5","Statin",80,3304
"6","Placebo",3,1663
"6","Statin",33,6582
"7","Placebo",8,459
"7","Statin",1,460
"8","Placebo",3,155
"8","Statin",3,145
"9","Placebo",0,42
"9","Statin",1,83
"10","Placebo",4,223
"10","Statin",3,224
"11","Placebo",633,4520
"11","Statin",498,4512
"12","Placebo",1,124
"12","Statin",2,123
"13","Placebo",11,188
"13","Statin",4,193
"14","Placebo",5,78
"14","Statin",4,79
"15","Placebo",6,202
"15","Statin",4,206
"16","Placebo",3,532
"16","Statin",0,530
"17","Placebo",4,178
"17","Statin",2,187
"18","Placebo",1,201
"18","Statin",3,203
"19","Placebo",135,3293
"19","Statin",106,3305
