"study","treatment","r","n"
"1","1",1472,20251
"1","3",652,10396
"1","4",723,10374
"2","1",9,130
"2","2",6,123
"3","1",5,63
"3","2",2,59
"4","1",3,65
"4","2",3,64
"5","1",887,10396
"5","2",929,10372
"6","1",1455,13780
"6","2",1418,13746
"6","9",1448,13773
"7","1",7,85
"7","2",4,86
"8","1",12,159
"8","2",7,157
"9","1",10,135
"9","2",5,135
"10","1",4,107
"10","4",6,109
"11","1",285,3004
"11","5",270,3006
"12","1",11,149
"12","7",2,152
"13","1",1,50
"13","7",3,50
"14","1",8,58
"14","7",5,54
"15","1",1,53
"15","7",1,47
"16","1",4,45
"16","7",0,42
"17","1",14,99
"17","7",7,101
"18","1",9,41
"18","7",3,46
"19","1",42,421
"19","7",29,429
"20","2",2,44
"20","7",3,46
"21","2",13,200
"21","7",5,195
"22","2",2,56
"22","7",2,47
"23","3",3,55
"23","7",1,55
"24","3",10,94
"24","7",3,95
"25","3",40,573
"25","7",32,565
"26","3",2,61
"26","7",3,62
"27","3",16,419
"27","7",20,421
"28","3",5,69
"28","7",3,71
"29","3",5,75
"29","7",5,75
"30","3",59,782
"30","7",52,790
"31","3",5,81
"31","7",2,81
"32","3",16,226
"32","7",12,225
"33","3",8,66
"33","7",6,71
"34","3",522,8488
"34","6",523,8461
"35","3",356,4921
"35","5",757,10138
"36","3",13,155
"36","5",7,169
"37","1",10,203
"37","8",7,198
"38","1",3,58
"38","9",2,52
"39","1",3,86
"39","9",6,89
"40","1",3,58
"40","9",2,58
"41","1",13,182
"41","9",11,188
"42","3",2,26
"42","8",7,54
"43","3",12,268
"43","8",16,350
"44","3",5,210
"44","9",17,211
"45","3",3,138
"45","9",13,147
"46","2",8,132
"46","8",4,66
"47","2",10,164
"47","8",6,166
"48","2",6,124
"48","8",5,121
"49","2",13,164
"49","9",10,161
"50","2",7,93
"50","9",5,90
