"study","treatment","r","n","measure","outcome"
"ACTIVE-W","03",65,3371,"OR",NA
"ACTIVE-W","16",106,3335,"OR",NA
"AFASAK 1","01",19,336,"OR",NA
"AFASAK 1","03",9,335,"OR",NA
"AFASAK 1","05",16,336,"OR",NA
"AFASAK 2","03",11,170,"OR",NA
"AFASAK 2","04",14,167,"OR",NA
"AFASAK 2","06",9,169,"OR",NA
"AFASAK 2","14",11,171,"OR",NA
"BAATAF","01",13,208,"OR",NA
"BAATAF","02",3,212,"OR",NA
"BAFTA","03",21,488,"OR",NA
"BAFTA","05",44,485,"OR",NA
"CAFA","01",9,191,"OR",NA
"CAFA","03",6,87,"OR",NA
"Chinese ATAFS","03",9,335,"OR",NA
"Chinese ATAFS","05",17,369,"OR",NA
"EAFT","01",50,214,"OR",NA
"EAFT","03",20,225,"OR",NA
"EAFT","06",88,404,"OR",NA
"ESPS 2","01",23,107,"OR",NA
"ESPS 2","05",17,104,"OR",NA
"ESPS 2","12",20,114,"OR",NA
"ESPS 2","17",14,104,"OR",NA
"JAST","01",19,445,"OR",NA
"JAST","05",20,426,"OR",NA
"JNAFESP","02",2,60,"OR",NA
"JNAFESP","03",2,55,"OR",NA
"LASAF","01",3,91,"OR",NA
"LASAF","05",4,104,"OR",NA
"LASAF","08",1,90,"OR",NA
"MWNAF","03",1,153,"OR",NA
"MWNAF","04",5,150,"OR",NA
"NASPEAF","03",6,237,"OR",NA
"NASPEAF","10",11,242,"OR",NA
"NASPEAF","15",3,235,"OR",NA
"PATAF","02",4,122,"OR",NA
"PATAF","03",3,131,"OR",NA
"PATAF","05",4,141,"OR",NA
"SAFT","01",41,334,"OR",NA
"SAFT","13",32,334,"OR",NA
"SIFA","03",18,454,"OR",NA
"SIFA","11",23,462,"OR",NA
"SPAF 1","01",19,211,"OR",NA
"SPAF 1","03",8,210,"OR",NA
"SPAF 1","06",25,552,"OR",NA
"SPAF 2a","03",19,358,"OR",NA
"SPAF 2a","06",21,357,"OR",NA
"SPAF 2b","03",20,197,"OR",NA
"SPAF 2b","06",21,188,"OR",NA
"SPAF 3","03",14,523,"OR",NA
"SPAF 3","14",48,521,"OR",NA
"SPINAF","01",23,290,"OR",NA
"SPINAF","02",7,281,"OR",NA
"SPORTIF 3","03",58,1703,"OR",NA
"SPORTIF 3","09",42,1704,"OR",NA
"SPORTIF 5","03",44,1962,"OR",NA
"SPORTIF 5","09",52,1960,"OR",NA
"UK-TIA","01",4,15,"OR",NA
"UK-TIA","06",3,13,"OR",NA
"UK-TIA","07",5,21,"OR",NA
"WASPO","03",0,36,"OR",NA
"WASPO","06",0,39,"OR",NA
