"study","treatment","r","n","measure","outcome"
"1","BetaB",3,38,"OR",NA
"1","Control",3,39,"OR",NA
"2","BetaB",7,114,"OR",NA
"2","Control",14,116,"OR",NA
"3","BetaB",5,69,"OR",NA
"3","Control",11,93,"OR",NA
"4","BetaB",102,1533,"OR",NA
"4","Control",127,1520,"OR",NA
"5","BetaB",28,355,"OR",NA
"5","Control",27,365,"OR",NA
"6","BetaB",4,59,"OR",NA
"6","Control",6,52,"OR",NA
"7","BetaB",98,945,"OR",NA
"7","Control",152,939,"OR",NA
"8","BetaB",60,632,"OR",NA
"8","Control",48,471,"OR",NA
"9","BetaB",25,278,"OR",NA
"9","Control",37,282,"OR",NA
"10","BetaB",138,1916,"OR",NA
"10","Control",188,1921,"OR",NA
"11","BetaB",64,873,"OR",NA
"11","Control",52,583,"OR",NA
"12","BetaB",45,263,"OR",NA
"12","Control",47,266,"OR",NA
"13","BetaB",9,291,"OR",NA
"13","Control",16,293,"OR",NA
"14","BetaB",57,858,"OR",NA
"14","Control",45,883,"OR",NA
"15","BetaB",25,154,"OR",NA
"15","Control",31,147,"OR",NA
"16","BetaB",33,207,"OR",NA
"16","Control",38,213,"OR",NA
"17","BetaB",28,251,"OR",NA
"17","Control",12,122,"OR",NA
"18","BetaB",8,151,"OR",NA
"18","Control",6,154,"OR",NA
"19","BetaB",6,174,"OR",NA
"19","Control",3,134,"OR",NA
"20","BetaB",32,209,"OR",NA
"20","Control",40,218,"OR",NA
"21","BetaB",27,391,"OR",NA
"21","Control",43,364,"OR",NA
"22","BetaB",22,680,"OR",NA
"22","Control",39,674,"OR",NA
