"study","treatment","r","n","measure","outcome"
"Abe2006","Infliximab",15,49,"OR",NA
"Abe2006","Placebo",0,47,"OR",NA
"ARMADA","Adalimumab",37,67,"OR",NA
"ARMADA","Placebo",5,62,"OR",NA
"ATTEST","Infliximab",61,165,"OR",NA
"ATTEST","Placebo",22,110,"OR",NA
"CHARISMA","Placebo",14,49,"OR",NA
"CHARISMA","Tocilizumab",26,50,"OR",NA
"DE019","Adalimumab",81,207,"OR",NA
"DE019","Placebo",19,200,"OR",NA
"Kim2007","Adalimumab",28,65,"OR",NA
"Kim2007","Placebo",9,63,"OR",NA
"OPTION","Placebo",22,204,"OR",NA
"OPTION","Tocilizumab",90,205,"OR",NA
"RAPID1","CZP",146,393,"OR",NA
"RAPID1","Placebo",15,199,"OR",NA
"RAPID2","CZP",80,246,"OR",NA
"RAPID2","Placebo",4,127,"OR",NA
"START","Infliximab",110,360,"OR",NA
"START","Placebo",33,363,"OR",NA
"Strand2006","Placebo",5,40,"OR",NA
"Strand2006","Rituximab",5,40,"OR",NA
"Weinblatt1999","Etanercept",23,59,"OR",NA
"Weinblatt1999","Placebo",1,30,"OR",NA
