"study","treatment","r","n","y","sd"
"Abe2006","Infliximab",15,49,NA,NA
"Abe2006","Placebo",0,47,NA,NA
"ARMADA","Adalimumab",37,67,NA,NA
"ARMADA","Placebo",5,62,NA,NA
"ATTEST","Infliximab",61,165,NA,NA
"ATTEST","Placebo",22,110,NA,NA
"CHARISMA","Placebo",14,49,NA,NA
"CHARISMA","Tocilizumab",26,50,NA,NA
"DE019","Adalimumab",81,207,NA,NA
"DE019","Placebo",19,200,NA,NA
"Kim2007","Adalimumab",28,65,NA,NA
"Kim2007","Placebo",9,63,NA,NA
"OPTION","Placebo",22,204,NA,NA
"OPTION","Tocilizumab",90,205,NA,NA
"RAPID1","CZP",146,393,NA,NA
"RAPID1","Placebo",15,199,NA,NA
"RAPID2","CZP",80,246,NA,NA
"RAPID2","Placebo",4,127,NA,NA
"START","Infliximab",110,360,NA,NA
"START","Placebo",33,363,NA,NA
"Strand2006","Placebo",5,40,NA,NA
"Strand2006","Rituximab",5,40,NA,NA
"Weinblatt1999","Etanercept",23,59,NA,NA
"Weinblatt1999","Placebo",1,30,NA,NA
