"study","treatment","r","n","measure","outcome"
"Kasper2005","escitalopram",78,174,"OR",NA
"Kasper2005","fluoxetine",61,164,"OR",NA
"Sir2005","sertraline",56,79,"OR",NA
"Sir2005","venlafaxine",56,84,"OR",NA
"Tylee1997","fluoxetine",58,170,"OR",NA
"Tylee1997","venlafaxine",67,171,"OR",NA
"Kiev1997","fluvoxamine",17,30,"OR",NA
"Kiev1997","paroxetine",16,30,"OR",NA
"Clayton2002","fluoxetine",79,150,"OR",NA
"Clayton2002","reboxetine",59,150,"OR",NA
"Eker2005","reboxetine",16,25,"OR",NA
"Eker2005","sertraline",17,24,"OR",NA
"Dierick1996","fluoxetine",67,161,"OR",NA
"Dierick1996","venlafaxine",80,153,"OR",NA
"Clayton2006a(WELL_AK130927)","bupropion",82,141,"OR",NA
"Clayton2006a(WELL_AK130927)","escitalopram",90,138,"OR",NA
"Rudolph1999","fluoxetine",51,103,"OR",NA
"Rudolph1999","venlafaxine",54,100,"OR",NA
"Gagiano1993","fluoxetine",27,45,"OR",NA
"Gagiano1993","paroxetine",30,45,"OR",NA
"Taner2006","fluoxetine",19,21,"OR",NA
"Taner2006","reboxetine",14,22,"OR",NA
"Wheatley1997","fluoxetine",28,67,"OR",NA
"Wheatley1997","mirtazapine",39,66,"OR",NA
"Khanzode2003","citalopram",3,33,"OR",NA
"Khanzode2003","fluoxetine",4,34,"OR",NA
"Thase2006","bupropion",86,171,"OR",NA
"Thase2006","venlafaxine",82,177,"OR",NA
"Fava1998","fluoxetine",31,54,"OR",NA
"Fava1998","paroxetine",32,55,"OR",NA
"Tignol1993","fluoxetine",54,87,"OR",NA
"Tignol1993","paroxetine",53,89,"OR",NA
"Schoemaker2002","fluvoxamine",127,207,"OR",NA
"Schoemaker2002","mirtazapine",132,205,"OR",NA
"Montgomery2004","escitalopram",113,148,"OR",NA
"Montgomery2004","venlafaxine",113,145,"OR",NA
"Boulenger2006","escitalopram",162,232,"OR",NA
"Boulenger2006","paroxetine",144,227,"OR",NA
"Suri2000","fluoxetine",5,18,"OR",NA
"Suri2000","sertraline",9,35,"OR",NA
"Wehis2000","bupropion",34,48,"OR",NA
"Wehis2000","paroxetine",40,52,"OR",NA
"Geretsegger MY1021/BRC","fluoxetine",8,52,"OR",NA
"Geretsegger MY1021/BRC","paroxetine",19,54,"OR",NA
"Perahia2006","duloxetine",139,196,"OR",NA
"Perahia2006","paroxetine",65,97,"OR",NA
"Bielski2004","escitalopram",59,101,"OR",NA
"Bielski2004","venlafaxine",47,101,"OR",NA
"Feighner1991","bupropion",37,61,"OR",NA
"Feighner1991","fluoxetine",35,62,"OR",NA
"Khan2007","duloxetine",66,138,"OR",NA
"Khan2007","escitalopram",83,140,"OR",NA
"Coleman1999","bupropion",78,122,"OR",NA
"Coleman1999","sertraline",67,118,"OR",NA
"Akkaya2003","reboxetine",32,57,"OR",NA
"Akkaya2003","venlafaxine",37,50,"OR",NA
"Chen2001","sertraline",26,45,"OR",NA
"Chen2001","venlafaxine",31,44,"OR",NA
"Timmerman1993","citalopram",33,108,"OR",NA
"Timmerman1993","fluvoxamine",31,109,"OR",NA
"WELL_AK1A4006","bupropion",74,158,"OR",NA
"WELL_AK1A4006","fluoxetine",88,155,"OR",NA
"Clerc1994","fluoxetine",17,34,"OR",NA
"Clerc1994","venlafaxine",24,34,"OR",NA
"Van Moffaert1995","fluoxetine",48,82,"OR",NA
"Van Moffaert1995","sertraline",49,83,"OR",NA
"Kato2006","fluvoxamine",31,49,"OR",NA
"Kato2006","paroxetine",37,52,"OR",NA
"MY-1043/BRL-029060/115","fluoxetine",167,289,"OR",NA
"MY-1043/BRL-029060/115","paroxetine",152,284,"OR",NA
"Szegedi2005","mirtazapine",65,130,"OR",NA
"Szegedi2005","venlafaxine",52,128,"OR",NA
"De Wilde1993","fluoxetine",26,41,"OR",NA
"De Wilde1993","paroxetine",25,37,"OR",NA
"Baldwin2005","escitalopram",112,166,"OR",NA
"Baldwin2005","paroxetine",111,159,"OR",NA
"Berlanga2004","citalopram",33,54,"OR",NA
"Berlanga2004","reboxetine",27,47,"OR",NA
"Sechter1999","fluoxetine",35,120,"OR",NA
"Sechter1999","sertraline",48,118,"OR",NA
"Alves1999","fluoxetine",35,47,"OR",NA
"Alves1999","venlafaxine",36,40,"OR",NA
"Aguglia1993","fluoxetine",26,56,"OR",NA
"Aguglia1993","sertraline",35,52,"OR",NA
"Nieremberg2007","duloxetine",113,273,"OR",NA
"Nieremberg2007","escitalopram",109,274,"OR",NA
"Ventura2007","escitalopram",75,107,"OR",NA
"Ventura2007","sertraline",74,108,"OR",NA
