"study","treatment","r","n","y","sd"
"Kasper2005","escitalopram",78,174,NA,NA
"Kasper2005","fluoxetine",61,164,NA,NA
"Sir2005","sertraline",56,79,NA,NA
"Sir2005","venlafaxine",56,84,NA,NA
"Tylee1997","fluoxetine",58,170,NA,NA
"Tylee1997","venlafaxine",67,171,NA,NA
"Kiev1997","fluvoxamine",17,30,NA,NA
"Kiev1997","paroxetine",16,30,NA,NA
"Clayton2002","fluoxetine",79,150,NA,NA
"Clayton2002","reboxetine",59,150,NA,NA
"Eker2005","reboxetine",16,25,NA,NA
"Eker2005","sertraline",17,24,NA,NA
"Dierick1996","fluoxetine",67,161,NA,NA
"Dierick1996","venlafaxine",80,153,NA,NA
"Clayton2006a(WELL_AK130927)","bupropion",82,141,NA,NA
"Clayton2006a(WELL_AK130927)","escitalopram",90,138,NA,NA
"Rudolph1999","fluoxetine",51,103,NA,NA
"Rudolph1999","venlafaxine",54,100,NA,NA
"Gagiano1993","fluoxetine",27,45,NA,NA
"Gagiano1993","paroxetine",30,45,NA,NA
"Taner2006","fluoxetine",19,21,NA,NA
"Taner2006","reboxetine",14,22,NA,NA
"Wheatley1997","fluoxetine",28,67,NA,NA
"Wheatley1997","mirtazapine",39,66,NA,NA
"Khanzode2003","citalopram",3,33,NA,NA
"Khanzode2003","fluoxetine",4,34,NA,NA
"Thase2006","bupropion",86,171,NA,NA
"Thase2006","venlafaxine",82,177,NA,NA
"Fava1998","fluoxetine",31,54,NA,NA
"Fava1998","paroxetine",32,55,NA,NA
"Tignol1993","fluoxetine",54,87,NA,NA
"Tignol1993","paroxetine",53,89,NA,NA
"Schoemaker2002","fluvoxamine",127,207,NA,NA
"Schoemaker2002","mirtazapine",132,205,NA,NA
"Montgomery2004","escitalopram",113,148,NA,NA
"Montgomery2004","venlafaxine",113,145,NA,NA
"Boulenger2006","escitalopram",162,232,NA,NA
"Boulenger2006","paroxetine",144,227,NA,NA
"Suri2000","fluoxetine",5,18,NA,NA
"Suri2000","sertraline",9,35,NA,NA
"Wehis2000","bupropion",34,48,NA,NA
"Wehis2000","paroxetine",40,52,NA,NA
"Geretsegger MY1021/BRC","fluoxetine",8,52,NA,NA
"Geretsegger MY1021/BRC","paroxetine",19,54,NA,NA
"Perahia2006","duloxetine",139,196,NA,NA
"Perahia2006","paroxetine",65,97,NA,NA
"Bielski2004","escitalopram",59,101,NA,NA
"Bielski2004","venlafaxine",47,101,NA,NA
"Feighner1991","bupropion",37,61,NA,NA
"Feighner1991","fluoxetine",35,62,NA,NA
"Khan2007","duloxetine",66,138,NA,NA
"Khan2007","escitalopram",83,140,NA,NA
"Coleman1999","bupropion",78,122,NA,NA
"Coleman1999","sertraline",67,118,NA,NA
"Akkaya2003","reboxetine",32,57,NA,NA
"Akkaya2003","venlafaxine",37,50,NA,NA
"Chen2001","sertraline",26,45,NA,NA
"Chen2001","venlafaxine",31,44,NA,NA
"Timmerman1993","citalopram",33,108,NA,NA
"Timmerman1993","fluvoxamine",31,109,NA,NA
"WELL_AK1A4006","bupropion",74,158,NA,NA
