"study","treatment","r","n","y","sd"
"DART","control",113,1015,NA,NA
"DART","diet",111,1018,NA,NA
"London Corn/Olive","control",1,26,NA,NA
"London Corn/Olive","diet",8,54,NA,NA
"London Low Fat","control",24,129,NA,NA
"London Low Fat","diet",20,123,NA,NA
"Minnesota Coronary","control",248,4516,NA,NA
"Minnesota Coronary","diet",269,4516,NA,NA
"MRC Soya","control",31,194,NA,NA
"MRC Soya","diet",28,199,NA,NA
"Oslo Diet-Heart","control",65,206,NA,NA
"Oslo Diet-Heart","diet",48,206,NA,NA
"STARS","control",3,30,NA,NA
"STARS","diet",1,30,NA,NA
"Sydney Diet-Heart","control",28,237,NA,NA
"Sydney Diet-Heart","diet",39,221,NA,NA
"Veterans Administration","control",177,422,NA,NA
"Veterans Administration","diet",174,424,NA,NA
"Veterans Diet & Skin CA","control",2,67,NA,NA
"Veterans Diet & Skin CA","diet",1,66,NA,NA
