"study","treatment","r","n","measure","outcome"
"4S","control",256,2223,"OR",NA
"4S","statin",182,2221,"OR",NA
"Bestehorn","control",4,125,"OR",NA
"Bestehorn","statin",1,129,"OR",NA
"Brown","control",0,52,"OR",NA
"Brown","statin",1,94,"OR",NA
"CCAIT","control",2,166,"OR",NA
"CCAIT","statin",2,165,"OR",NA
"Downs","control",77,3301,"OR",NA
"Downs","statin",80,3304,"OR",NA
"EXCEL","control",3,1663,"OR",NA
"EXCEL","statin",33,6582,"OR",NA
"Furberg","control",8,459,"OR",NA
"Furberg","statin",1,460,"OR",NA
"Haskell","control",3,155,"OR",NA
"Haskell","statin",3,145,"OR",NA
"Jones","control",0,42,"OR",NA
"Jones","statin",1,83,"OR",NA
"KAPS","control",4,223,"OR",NA
"KAPS","statin",3,224,"OR",NA
"LIPID","control",633,4520,"OR",NA
"LIPID","statin",498,4512,"OR",NA
"MAAS","control",11,188,"OR",NA
"MAAS","statin",4,193,"OR",NA
"MARS","control",1,124,"OR",NA
"MARS","statin",2,123,"OR",NA
"PLAC1","control",5,78,"OR",NA
"PLAC1","statin",4,79,"OR",NA
"PLAC2","control",6,202,"OR",NA
"PLAC2","statin",4,206,"OR",NA
"PMSGCRP","control",3,532,"OR",NA
"PMSGCRP","statin",0,530,"OR",NA
"Riegger","control",4,178,"OR",NA
"Riegger","statin",2,187,"OR",NA
"Weintraub","control",1,201,"OR",NA
"Weintraub","statin",3,203,"OR",NA
"Wscotland","control",135,3293,"OR",NA
"Wscotland","statin",106,3305,"OR",NA
