"study","treatment","r","n","y","sd"
"4S","control",256,2223,NA,NA
"4S","statin",182,2221,NA,NA
"Bestehorn","control",4,125,NA,NA
"Bestehorn","statin",1,129,NA,NA
"Brown","control",0,52,NA,NA
"Brown","statin",1,94,NA,NA
"CCAIT","control",2,166,NA,NA
"CCAIT","statin",2,165,NA,NA
"Downs","control",77,3301,NA,NA
"Downs","statin",80,3304,NA,NA
"EXCEL","control",3,1663,NA,NA
"EXCEL","statin",33,6582,NA,NA
"Furberg","control",8,459,NA,NA
"Furberg","statin",1,460,NA,NA
"Haskell","control",3,155,NA,NA
"Haskell","statin",3,145,NA,NA
"Jones","control",0,42,NA,NA
"Jones","statin",1,83,NA,NA
"KAPS","control",4,223,NA,NA
"KAPS","statin",3,224,NA,NA
"LIPID","control",633,4520,NA,NA
"LIPID","statin",498,4512,NA,NA
"MAAS","control",11,188,NA,NA
"MAAS","statin",4,193,NA,NA
"MARS","control",1,124,NA,NA
"MARS","statin",2,123,NA,NA
"PLAC1","control",5,78,NA,NA
"PLAC1","statin",4,79,NA,NA
"PLAC2","control",6,202,NA,NA
"PLAC2","statin",4,206,NA,NA
"PMSGCRP","control",3,532,NA,NA
"PMSGCRP","statin",0,530,NA,NA
"Riegger","control",4,178,NA,NA
"Riegger","statin",2,187,NA,NA
"Weintraub","control",1,201,NA,NA
"Weintraub","statin",3,203,NA,NA
"Wscotland","control",135,3293,NA,NA
"Wscotland","statin",106,3305,NA,NA
