"study","treatment","r","n","measure","outcome"
"01","A",9,140,"OR",NA
"01","C",23,140,"OR",NA
"01","D",10,138,"OR",NA
"02","B",11,78,"OR",NA
"02","C",12,85,"OR",NA
"02","D",29,170,"OR",NA
"03","A",79,702,"OR",NA
"03","B",77,694,"OR",NA
"04","A",18,671,"OR",NA
"04","B",21,535,"OR",NA
"05","A",8,116,"OR",NA
"05","B",19,146,"OR",NA
"06","A",75,731,"OR",NA
"06","C",363,714,"OR",NA
"07","A",2,106,"OR",NA
"07","C",9,205,"OR",NA
"08","A",58,549,"OR",NA
"08","C",237,1561,"OR",NA
"09","A",0,33,"OR",NA
"09","C",9,48,"OR",NA
"10","A",3,100,"OR",NA
"10","C",31,98,"OR",NA
"11","A",1,31,"OR",NA
"11","C",26,95,"OR",NA
"12","A",6,39,"OR",NA
"12","C",17,77,"OR",NA
"13","A",95,1107,"OR",NA
"13","C",134,1031,"OR",NA
"14","A",15,187,"OR",NA
"14","C",35,504,"OR",NA
"15","A",78,584,"OR",NA
"15","C",73,675,"OR",NA
"16","A",69,1177,"OR",NA
"16","C",54,888,"OR",NA
"17","A",64,642,"OR",NA
"17","C",107,761,"OR",NA
"18","A",5,62,"OR",NA
"18","C",8,90,"OR",NA
"19","A",20,234,"OR",NA
"19","C",34,237,"OR",NA
"20","A",0,20,"OR",NA
"20","D",9,20,"OR",NA
"21","B",20,49,"OR",NA
"21","C",16,43,"OR",NA
"22","B",7,66,"OR",NA
"22","D",32,127,"OR",NA
"23","C",12,76,"OR",NA
"23","D",20,74,"OR",NA
"24","C",9,55,"OR",NA
"24","D",3,26,"OR",NA
