"study","treatment","r","n","y","sd"
"01","AtPA",652,10344,NA,NA
"01","SK",1472,20163,NA,NA
"01","SKtPA",723,10328,NA,NA
"02","ASPAC",1448,13773,NA,NA
"02","SK",1455,13780,NA,NA
"02","tPA",1418,13746,NA,NA
"03","SK",9,130,NA,NA
"03","tPA",6,123,NA,NA
"04","SK",5,63,NA,NA
"04","tPA",2,59,NA,NA
"05","SK",3,65,NA,NA
"05","tPA",3,64,NA,NA
"06","SK",887,10396,NA,NA
"06","tPA",929,10372,NA,NA
"07","SK",7,85,NA,NA
"07","tPA",4,86,NA,NA
"08","SK",12,147,NA,NA
"08","tPA",7,143,NA,NA
"09","SK",10,135,NA,NA
"09","tPA",5,135,NA,NA
"10","SK",4,107,NA,NA
"10","SKtPA",6,109,NA,NA
"11","Ret",270,2994,NA,NA
"11","SK",285,2992,NA,NA
"12","SK",10,203,NA,NA
"12","UK",7,198,NA,NA
"13","ASPAC",2,52,NA,NA
"13","SK",3,58,NA,NA
"14","ASPAC",6,89,NA,NA
"14","SK",3,86,NA,NA
"15","ASPAC",2,58,NA,NA
"15","SK",3,58,NA,NA
"16","ASPAC",11,188,NA,NA
"16","SK",13,182,NA,NA
"17","AtPA",522,8488,NA,NA
"17","Ten",523,8461,NA,NA
"18","AtPA",356,4921,NA,NA
"18","Ret",757,10138,NA,NA
"19","AtPA",13,155,NA,NA
"19","Ret",7,169,NA,NA
"20","AtPA",2,26,NA,NA
"20","UK",7,54,NA,NA
"21","AtPA",12,268,NA,NA
"21","UK",16,350,NA,NA
"22","ASPAC",17,211,NA,NA
"22","AtPA",5,210,NA,NA
"23","ASPAC",13,147,NA,NA
"23","AtPA",3,138,NA,NA
"24","tPA",8,132,NA,NA
"24","UK",4,66,NA,NA
"25","tPA",10,164,NA,NA
"25","UK",6,166,NA,NA
"26","tPA",6,124,NA,NA
"26","UK",5,121,NA,NA
"27","ASPAC",10,161,NA,NA
"27","tPA",13,164,NA,NA
"28","ASPAC",5,90,NA,NA
"28","tPA",7,93,NA,NA
