"study","treatment","r","n","y","sd"
NA,NA,65,3371,NA,NA
NA,NA,106,3335,NA,NA
NA,NA,19,336,NA,NA
NA,NA,9,335,NA,NA
NA,NA,16,336,NA,NA
NA,NA,11,170,NA,NA
NA,NA,14,167,NA,NA
NA,NA,9,169,NA,NA
NA,NA,11,171,NA,NA
NA,NA,13,208,NA,NA
NA,NA,3,212,NA,NA
NA,NA,21,488,NA,NA
NA,NA,44,485,NA,NA
NA,NA,9,191,NA,NA
NA,NA,6,87,NA,NA
NA,NA,9,335,NA,NA
NA,NA,17,369,NA,NA
NA,NA,50,214,NA,NA
NA,NA,20,225,NA,NA
NA,NA,88,404,NA,NA
NA,NA,23,107,NA,NA
NA,NA,17,104,NA,NA
NA,NA,20,114,NA,NA
NA,NA,14,104,NA,NA
NA,NA,19,445,NA,NA
NA,NA,20,426,NA,NA
NA,NA,2,60,NA,NA
NA,NA,2,55,NA,NA
NA,NA,3,91,NA,NA
NA,NA,4,104,NA,NA
NA,NA,1,90,NA,NA
NA,NA,1,153,NA,NA
NA,NA,5,150,NA,NA
NA,NA,6,237,NA,NA
NA,NA,11,242,NA,NA
NA,NA,3,235,NA,NA
NA,NA,4,122,NA,NA
NA,NA,3,131,NA,NA
NA,NA,4,141,NA,NA
NA,NA,41,334,NA,NA
NA,NA,32,334,NA,NA
NA,NA,18,454,NA,NA
NA,NA,23,462,NA,NA
NA,NA,19,211,NA,NA
NA,NA,8,210,NA,NA
NA,NA,25,552,NA,NA
NA,NA,19,358,NA,NA
NA,NA,21,357,NA,NA
NA,NA,20,197,NA,NA
NA,NA,21,188,NA,NA
NA,NA,14,523,NA,NA
NA,NA,48,521,NA,NA
NA,NA,23,290,NA,NA
NA,NA,7,281,NA,NA
NA,NA,58,1703,NA,NA
NA,NA,42,1704,NA,NA
NA,NA,44,1962,NA,NA
NA,NA,52,1960,NA,NA
NA,NA,4,15,NA,NA
NA,NA,3,13,NA,NA
NA,NA,5,21,NA,NA
NA,NA,0,36,NA,NA
NA,NA,0,39,NA,NA
