"study","treatment","r","n","y","sd"
NA,NA,11,139,NA,NA
NA,NA,4,123,NA,NA
NA,NA,29,303,NA,NA
NA,NA,6,306,NA,NA
NA,NA,11,220,NA,NA
NA,NA,3,231,NA,NA
NA,NA,248,12867,NA,NA
NA,NA,62,13598,NA,NA
NA,NA,47,5808,NA,NA
NA,NA,33,5069,NA,NA
NA,NA,372,1451,NA,NA
NA,NA,180,1541,NA,NA
NA,NA,10,629,NA,NA
NA,NA,8,2545,NA,NA
NA,NA,499,88391,NA,NA
NA,NA,505,88391,NA,NA
NA,NA,45,7277,NA,NA
NA,NA,29,7499,NA,NA
NA,NA,65,1665,NA,NA
NA,NA,17,1716,NA,NA
NA,NA,141,27338,NA,NA
NA,NA,186,50634,NA,NA
NA,NA,3,2341,NA,NA
NA,NA,5,2498,NA,NA
NA,NA,29,17854,NA,NA
NA,NA,27,16913,NA,NA
