"study","treatment","r","n","y","sd"
NA,NA,3,39,NA,NA
NA,NA,3,38,NA,NA
NA,NA,14,116,NA,NA
NA,NA,7,114,NA,NA
NA,NA,11,93,NA,NA
NA,NA,5,69,NA,NA
NA,NA,127,1520,NA,NA
NA,NA,102,1533,NA,NA
NA,NA,27,365,NA,NA
NA,NA,28,355,NA,NA
NA,NA,6,52,NA,NA
NA,NA,4,59,NA,NA
NA,NA,152,939,NA,NA
NA,NA,98,945,NA,NA
NA,NA,48,471,NA,NA
NA,NA,60,632,NA,NA
NA,NA,37,282,NA,NA
NA,NA,25,278,NA,NA
NA,NA,188,1921,NA,NA
NA,NA,138,1916,NA,NA
NA,NA,52,583,NA,NA
NA,NA,64,873,NA,NA
NA,NA,47,266,NA,NA
NA,NA,45,263,NA,NA
NA,NA,16,293,NA,NA
NA,NA,9,291,NA,NA
NA,NA,45,883,NA,NA
NA,NA,57,858,NA,NA
NA,NA,31,147,NA,NA
NA,NA,25,154,NA,NA
NA,NA,38,213,NA,NA
NA,NA,33,207,NA,NA
NA,NA,12,122,NA,NA
NA,NA,28,251,NA,NA
NA,NA,6,154,NA,NA
NA,NA,8,151,NA,NA
NA,NA,3,134,NA,NA
NA,NA,6,174,NA,NA
NA,NA,40,218,NA,NA
NA,NA,32,209,NA,NA
NA,NA,43,364,NA,NA
NA,NA,27,391,NA,NA
NA,NA,39,674,NA,NA
NA,NA,22,680,NA,NA
