"study","treatment","r","n","y","sd"
NA,NA,43,1081,NA,NA
NA,NA,34,2213,NA,NA
NA,NA,37,1102,NA,NA
NA,NA,29,416,NA,NA
NA,NA,20,424,NA,NA
NA,NA,140,1631,NA,NA
NA,NA,118,1578,NA,NA
NA,NA,75,3272,NA,NA
NA,NA,86,3297,NA,NA
NA,NA,302,6766,NA,NA
NA,NA,154,3954,NA,NA
NA,NA,119,4096,NA,NA
NA,NA,176,2511,NA,NA
NA,NA,136,2508,NA,NA
NA,NA,200,2826,NA,NA
NA,NA,138,2800,NA,NA
NA,NA,8,196,NA,NA
NA,NA,1,196,NA,NA
NA,NA,154,4870,NA,NA
NA,NA,177,4841,NA,NA
NA,NA,489,2646,NA,NA
NA,NA,449,2623,NA,NA
NA,NA,155,2883,NA,NA
NA,NA,102,2837,NA,NA
NA,NA,399,3472,NA,NA
NA,NA,335,3432,NA,NA
NA,NA,202,2721,NA,NA
NA,NA,163,2715,NA,NA
NA,NA,115,2175,NA,NA
NA,NA,93,2167,NA,NA
NA,NA,70,405,NA,NA
NA,NA,32,202,NA,NA
NA,NA,45,410,NA,NA
NA,NA,97,1960,NA,NA
NA,NA,95,1965,NA,NA
NA,NA,93,1970,NA,NA
NA,NA,799,7040,NA,NA
NA,NA,567,7072,NA,NA
NA,NA,251,5059,NA,NA
NA,NA,216,5095,NA,NA
NA,NA,665,8078,NA,NA
NA,NA,569,8098,NA,NA
NA,NA,380,5230,NA,NA
NA,NA,337,5183,NA,NA
NA,NA,320,3979,NA,NA
NA,NA,242,4020,NA,NA
NA,NA,845,5074,NA,NA
NA,NA,690,5087,NA,NA
