"study","treatment","r","n","y","sd"
NA,NA,NA,54,-1.22,3.70362849108817
NA,NA,NA,95,-1.53,4.27884271737113
NA,NA,NA,172,-0.7,3.69839532770633
NA,NA,NA,173,-2.4,3.3934601809952
NA,NA,NA,76,-0.3,4.40248793297608
NA,NA,NA,71,-2.6,4.29733638431994
NA,NA,NA,81,-1.2,4.302
NA,NA,NA,128,-0.24,2.99813275223096
NA,NA,NA,72,-0.59,3.00378960648045
NA,NA,NA,80,-0.73,2.99633108984972
NA,NA,NA,46,-0.18,2.99778985254137
NA,NA,NA,137,-2.2,2.30582588241177
NA,NA,NA,131,-2.5,2.17464939702932
NA,NA,NA,154,-1.8,2.48193472919817
NA,NA,NA,143,-2.1,2.98956518577535
