"study","treat1","treat2","TE","seTE"
"1","1","Waitlist",NA,NA
"1","6","Self-help internet no support",-0.916254782,0.318268341183976
"2","1","Waitlist",NA,NA
"2","7","Self-help book with support",-0.956381011,0.389667770029804
"3","1","Waitlist",NA,NA
"3","8","Self-help internet with support",-0.768207456,0.125194780242628
"4","1","Waitlist",NA,NA
"4","8","Self-help internet with support",-0.748858081,0.251091772067505
"5","1","Waitlist",NA,NA
"5","8","Self-help internet with support",-1.248430575,0.244291708823693
"6","1","Waitlist",NA,NA
"6","8","Self-help internet with support",-0.944180672,0.189073120776064
"7","1","Waitlist",NA,NA
"7","8","Self-help internet with support",-0.944180672,0.189073120776064
"8","1","Waitlist",NA,NA
"8","21","Clonazapam",-0.857090034,0.384607871734316
"9","1","Waitlist",NA,NA
"9","24","Exposure in vivo",-0.629537388,0.224740888580605
"10","1","Waitlist",NA,NA
"10","30","CBT group",-1.88839083,0.280449433944874
"11","1","Waitlist",NA,NA
"11","31","CBT group Heimberg",-0.905684912,0.351633670173947
"12","1","Waitlist",NA,NA
"12","34","CBT individual Heimberg",-0.454392997,0.231508626189177
"13","1","Waitlist",NA,NA
"13","34","CBT individual Heimberg",-1.696063053,0.333875503743536
"14","2","Pill placebo",NA,NA
"14","9","Pregabalin",-0.500842425,0.157867710441369
"15","2","Pill placebo",NA,NA
"15","9","Pregabalin",-0.196526106,0.177971275772244
"16","2","Pill placebo",NA,NA
"16","10","Levetiracetam",-0.39883358,0.446045647888195
"17","2","Pill placebo",NA,NA
"17","11","Gabapentin",-0.49451794,0.211858809115883
"18","2","Pill placebo",NA,NA
"18","12","Mirtazapine",-0.333079937,0.233864990967011
"19","2","Pill placebo",NA,NA
"19","13","Sertraline",-0.371851418,0.087869932286306
"20","2","Pill placebo",NA,NA
"20","13","Sertraline",-0.909000334,0.127441484611566
"21","2","Pill placebo",NA,NA
"21","14","Citalopram",-0.373082997,0.348380619437993
"22","2","Pill placebo",NA,NA
"22","15","Escitalopram",-0.252778383,0.0968908199985943
"23","2","Pill placebo",NA,NA
"23","16","Fluoxetine",0.001707907,0.22481639619921
"24","2","Pill placebo",NA,NA
"24","17","Fluvoxamine",-0.2323352,0.130086824851712
"25","2","Pill placebo",NA,NA
"25","17","Fluvoxamine",-0.601887082,0.117373766234197
"26","2","Pill placebo",NA,NA
"26","17","Fluvoxamine",-0.54967001,0.190402951657793
"27","2","Pill placebo",NA,NA
"27","17","Fluvoxamine",-0.848388534,0.38398930844491
"28","2","Pill placebo",NA,NA
"28","17","Fluvoxamine",-0.420395943,0.106638529622271
"29","2","Pill placebo",NA,NA
"29","18","Paroxetine",-1.083824848,0.197679796640931
"30","2","Pill placebo",NA,NA
"30","18","Paroxetine",-0.461623721,0.103663696634839
"31","2","Pill placebo",NA,NA
"31","18","Paroxetine",-0.625978711,0.0925257801912526
"32","2","Pill placebo",NA,NA
"32","18","Paroxetine",-0.887545209,0.139359409441917
"33","2","Pill placebo",NA,NA
"33","18","Paroxetine",-0.220551182,0.236291779374569
"34","2","Pill placebo",NA,NA
"34","19","Venlafaxine",-0.32587763,0.110718941468928
"35","2","Pill placebo",NA,NA
"35","19","Venlafaxine",-0.258515124,0.112657689484562
"36","2","Pill placebo",NA,NA
"36","21","Clonazapam",-0.910791901,0.210809966557561
"37","2","Pill placebo",NA,NA
"37","22","Moclobemide",-0.372848945,0.0928223518340276
"38","2","Pill placebo",NA,NA
"38","22","Moclobemide",-0.338845498,0.206636981201333
"39","2","Pill placebo",NA,NA
"39","22","Moclobemide",-0.193058684,0.103038618973664
"40","2","Pill placebo",NA,NA
"40","23","Phenelzine",-0.328358805,0.246178894302497
"41","3","Psychological placebo",NA,NA
"41","29","Psychodynamic psychotherapy",0.011363475,0.326679852454969
"42","3","Psychological placebo",NA,NA
"42","30","CBT group",0.407882594,0.270168514079639
"43","3","Psychological placebo",NA,NA
"43","31","CBT group Heimberg",-0.201290226,0.274976760836257
"44","4","Exercise promotion",NA,NA
"44","27","Mindfulness",-0.154771675,0.280352264124975
"45","6","Self-help internet no support",NA,NA
"45","6","Self-help internet no support",0.151445806,0.174264227539676
"46","6","Self-help internet no support",NA,NA
"46","8","Self-help internet with support",-0.275989655,0.142443501080253
"47","8","Self-help internet with support",NA,NA
"47","8","Self-help internet with support",0.007661103,0.199877822681757
"48","8","Self-help internet with support",NA,NA
"48","30","CBT group",-0.098454638,0.309257507588741
