"id","name"
"1","1"
"10","10"
"11","11"
"12","12"
"13","13"
"14","14"
"15","15"
"16","16"
"17","17"
"18","18"
"19","19"
"2","2"
"20","20"
"21","21"
"22","22"
"23","23"
"24","24"
"25","25"
"26","26"
"27","27"
"28","28"
"29","29"
"3","3"
"30","30"
"31","31"
"32","32"
"33","33"
"34","34"
"35","35"
"36","36"
"37","37"
"38","38"
"39","39"
"4","4"
"40","40"
"41","41"
"5","5"
"6","6"
"7","7"
"8","8"
"9","9"
"Alprazolam","Alprazolam"
"CBT group","CBT group"
"CBT group + Fluoxetine","CBT group + Fluoxetine"
"CBT group + Moclobemide","CBT group + Moclobemide"
"CBT group + Phenelzine","CBT group + Phenelzine"
"CBT group Enhanced","CBT group Enhanced"
"CBT group Heimberg","CBT group Heimberg"
"CBT individual","CBT individual"
"CBT individual Heimberg","CBT individual Heimberg"
"Citalopram","Citalopram"
"Clonazapam","Clonazapam"
"Cognitive therapy","Cognitive therapy"
"Cognitive therapy shortened sessions","Cognitive therapy shortened sessions"
"Escitalopram","Escitalopram"
"Exercise promotion","Exercise promotion"
"Exposure in vivo","Exposure in vivo"
"Fluoxetine","Fluoxetine"
"Fluvoxamine","Fluvoxamine"
"Gabapentin","Gabapentin"
"Interpersonal psychotherapy","Interpersonal psychotherapy"
"Levetiracetam","Levetiracetam"
"Mindfulness","Mindfulness"
"Mirtazapine","Mirtazapine"
"Moclobemide","Moclobemide"
"Paroxetine","Paroxetine"
"Paroxetine + Clonazapam","Paroxetine + Clonazapam"
"Phenelzine","Phenelzine"
"Pill placebo","Pill placebo"
"Pregabalin","Pregabalin"
"Psychodynamic + Clonazepam","Psychodynamic + Clonazepam"
"Psychodynamic psychotherapy","Psychodynamic psychotherapy"
"Psychological placebo","Psychological placebo"
"Self-help book no support","Self-help book no support"
"Self-help book with support","Self-help book with support"
"Self-help internet no support","Self-help internet no support"
"Self-help internet with support","Self-help internet with support"
"Sertraline","Sertraline"
"Social skills training","Social skills training"
"Supportive therapy","Supportive therapy"
"Venlafaxine","Venlafaxine"
"Waitlist","Waitlist"
