"study","treatment","r","n","y","sd"
NA,NA,256,2223,NA,NA
NA,NA,182,2221,NA,NA
NA,NA,4,125,NA,NA
NA,NA,1,129,NA,NA
NA,NA,0,52,NA,NA
NA,NA,1,94,NA,NA
NA,NA,2,166,NA,NA
NA,NA,2,165,NA,NA
NA,NA,77,3301,NA,NA
NA,NA,80,3304,NA,NA
NA,NA,3,1663,NA,NA
NA,NA,33,6582,NA,NA
NA,NA,8,459,NA,NA
NA,NA,1,460,NA,NA
NA,NA,3,155,NA,NA
NA,NA,3,145,NA,NA
NA,NA,0,42,NA,NA
NA,NA,1,83,NA,NA
NA,NA,4,223,NA,NA
NA,NA,3,224,NA,NA
NA,NA,633,4520,NA,NA
NA,NA,498,4512,NA,NA
NA,NA,1,124,NA,NA
NA,NA,2,123,NA,NA
NA,NA,11,188,NA,NA
NA,NA,4,193,NA,NA
NA,NA,5,78,NA,NA
NA,NA,4,79,NA,NA
NA,NA,6,202,NA,NA
NA,NA,4,206,NA,NA
NA,NA,3,532,NA,NA
NA,NA,0,530,NA,NA
NA,NA,4,178,NA,NA
NA,NA,2,187,NA,NA
NA,NA,1,201,NA,NA
NA,NA,3,203,NA,NA
NA,NA,135,3293,NA,NA
NA,NA,106,3305,NA,NA
