"study","treatment","r","n","y","sd"
NA,NA,1472,20251,NA,NA
NA,NA,652,10396,NA,NA
NA,NA,723,10374,NA,NA
NA,NA,9,130,NA,NA
NA,NA,6,123,NA,NA
NA,NA,5,63,NA,NA
NA,NA,2,59,NA,NA
NA,NA,3,65,NA,NA
NA,NA,3,64,NA,NA
NA,NA,887,10396,NA,NA
NA,NA,929,10372,NA,NA
NA,NA,1455,13780,NA,NA
NA,NA,1418,13746,NA,NA
NA,NA,1448,13773,NA,NA
NA,NA,7,85,NA,NA
NA,NA,4,86,NA,NA
NA,NA,12,159,NA,NA
NA,NA,7,157,NA,NA
NA,NA,10,135,NA,NA
NA,NA,5,135,NA,NA
NA,NA,4,107,NA,NA
NA,NA,6,109,NA,NA
NA,NA,285,3004,NA,NA
NA,NA,270,3006,NA,NA
NA,NA,11,149,NA,NA
NA,NA,2,152,NA,NA
NA,NA,1,50,NA,NA
NA,NA,3,50,NA,NA
NA,NA,8,58,NA,NA
NA,NA,5,54,NA,NA
NA,NA,1,53,NA,NA
NA,NA,1,47,NA,NA
NA,NA,4,45,NA,NA
NA,NA,0,42,NA,NA
NA,NA,14,99,NA,NA
NA,NA,7,101,NA,NA
NA,NA,9,41,NA,NA
NA,NA,3,46,NA,NA
NA,NA,42,421,NA,NA
NA,NA,29,429,NA,NA
NA,NA,2,44,NA,NA
NA,NA,3,46,NA,NA
NA,NA,13,200,NA,NA
NA,NA,5,195,NA,NA
NA,NA,2,56,NA,NA
NA,NA,2,47,NA,NA
NA,NA,3,55,NA,NA
NA,NA,1,55,NA,NA
NA,NA,10,94,NA,NA
NA,NA,3,95,NA,NA
NA,NA,40,573,NA,NA
NA,NA,32,565,NA,NA
NA,NA,2,61,NA,NA
NA,NA,3,62,NA,NA
NA,NA,16,419,NA,NA
NA,NA,20,421,NA,NA
NA,NA,5,69,NA,NA
NA,NA,3,71,NA,NA
NA,NA,5,75,NA,NA
NA,NA,5,75,NA,NA
NA,NA,59,782,NA,NA
NA,NA,52,790,NA,NA
NA,NA,5,81,NA,NA
NA,NA,2,81,NA,NA
NA,NA,16,226,NA,NA
NA,NA,12,225,NA,NA
NA,NA,8,66,NA,NA
NA,NA,6,71,NA,NA
NA,NA,522,8488,NA,NA
NA,NA,523,8461,NA,NA
NA,NA,356,4921,NA,NA
NA,NA,757,10138,NA,NA
NA,NA,13,155,NA,NA
NA,NA,7,169,NA,NA
NA,NA,10,203,NA,NA
NA,NA,7,198,NA,NA
NA,NA,3,58,NA,NA
NA,NA,2,52,NA,NA
NA,NA,3,86,NA,NA
NA,NA,6,89,NA,NA
NA,NA,3,58,NA,NA
NA,NA,2,58,NA,NA
NA,NA,13,182,NA,NA
NA,NA,11,188,NA,NA
NA,NA,2,26,NA,NA
NA,NA,7,54,NA,NA
NA,NA,12,268,NA,NA
NA,NA,16,350,NA,NA
NA,NA,5,210,NA,NA
NA,NA,17,211,NA,NA
NA,NA,3,138,NA,NA
NA,NA,13,147,NA,NA
NA,NA,8,132,NA,NA
NA,NA,4,66,NA,NA
NA,NA,10,164,NA,NA
NA,NA,6,166,NA,NA
NA,NA,6,124,NA,NA
NA,NA,5,121,NA,NA
NA,NA,13,164,NA,NA
NA,NA,10,161,NA,NA
NA,NA,7,93,NA,NA
NA,NA,5,90,NA,NA
