"study","treat1","treat2","TE","seTE"
NA,"A","C",-1.05129302699633,0.413243231419396
NA,"B","C",-0.00124455523220472,0.450406957665775
NA,"A","C",-2.20228928620676,0.143043865170366
NA,"A","C",-0.87035363668713,0.791093254011701
NA,"A","C",-0.415648521886279,0.155732897872958
NA,"A","C",-20.4508512363224,10000.0000083528
NA,"A","C",-2.70539327492945,0.625160818777302
NA,"A","C",-2.42518741508638,1.04225122951142
NA,"A","C",-0.443616874072541,0.521976908539188
NA,"A","B",0.0159649357312724,0.169915045874876
NA,"A","B",-0.393504543648524,0.326575446159963
NA,"A","C",-0.390412268317413,0.168017707955201
NA,"A","C",-0.106335649816033,0.595599682337342
NA,"A","C",-0.583398287042234,0.298346728281924
NA,"A","D",-21.2157423215442,10000.000012601
NA,"A","B",-0.679594214155242,0.44111579647405
NA,"A","C",-0.539679845514607,0.140119917217707
NA,"A","C",0.125505081750294,0.31999242189397
NA,"A","C",0.239970161562556,0.173656434118018
NA,"A","C",-0.0389560069154973,0.187384204203303
NA,"B","C",0.151684587332065,0.428975285602477
NA,"B","D",-1.04348630604959,0.448979522015191
NA,"C","D",-0.680724660561388,0.409239357652526
NA,"C","D",0.405465108108164,0.713906041260888
