"study","treatment","r","n"
"1","A",9,140
"2","B",11,78
"3","A",75,731
"4","A",2,106
"5","A",58,549
"6","A",0,33
"7","A",3,100
"8","A",1,31
"9","A",6,39
"10","A",79,702
"11","A",18,671
"12","A",64,642
"13","A",5,62
"14","A",20,234
"15","A",0,20
"16","A",8,116
"17","A",95,1107
"18","A",15,187
"19","A",78,584
"20","A",69,1177
"21","B",20,49
"22","B",7,66
"23","C",12,76
"24","C",9,55
"1","C",23,140
"2","C",12,85
"3","C",363,714
"4","C",9,205
"5","C",237,1561
"6","C",9,48
"7","C",31,98
"8","C",26,95
"9","C",17,77
"10","B",77,694
"11","B",21,535
"12","C",107,761
"13","C",8,90
"14","C",34,237
"15","D",9,20
"16","B",19,149
"17","C",143,1031
"18","C",36,504
"19","C",73,675
"20","C",54,888
"21","C",16,43
"22","D",32,127
"23","D",20,74
"24","D",3,26
"1","D",10,138
"2","D",29,170
"3","",NA,NA
"4","",NA,NA
"5","",NA,NA
"6","",NA,NA
"7","",NA,NA
"8","",NA,NA
"9","",NA,NA
"10","",NA,NA
"11","",NA,NA
"12","",NA,NA
"13","",NA,NA
"14","",NA,NA
"15","",NA,NA
"16","",NA,NA
"17","",NA,NA
"18","",NA,NA
"19","",NA,NA
"20","",NA,NA
"21","",NA,NA
"22","",NA,NA
"23","",NA,NA
"24","",NA,NA
