"study","treat1","treat2","TE","seTE"
NA,"1","3",0.775210009319648,0.412267812051279
NA,"1","2",1.53567176219449,0.648204677844761
NA,"1","3",0.915769762860028,0.433347905648806
NA,"1","3",-0.404092424296192,0.54370760734482
NA,"1","2",1.21546351486166,0.440148108158225
NA,"1","3",1.13943428318836,0.284562136898249
NA,"3","6",-0.108972405974229,0.325847617069668
NA,"3","6",-0.106946084326506,0.330540147463614
NA,"3","13",-1.30549630935122,0.310387993016816
NA,"3","11",-0.238265288306848,0.321877769867368
NA,"1","5",0.337372191684204,0.354543093374635
NA,"3","4",-0.279628337644684,0.418524692492786
NA,"3","4",-1.6565846908598,1.1015786395408
NA,"2","3",0.369027711905733,0.774351605928805
NA,"1","5",-0.159848700941896,0.777622639650473
NA,"1","6",0.192371892647456,0.879910463764595
NA,"2","3",-0.0901510969942974,1.01789454455687
NA,"2","9",0.333054704478972,0.205573564868246
NA,"1","13",0.278090572262384,0.249728795824313
NA,"3","10",-0.606135803570316,0.515978455203089
NA,"3","9",-0.172281488098318,0.207372918691188
NA,"1","5",-0.0993794810551883,0.327783542867753
NA,"3","16",-0.512618331839124,0.159470221016574
NA,"3","5",-0.559254972488607,0.41933642135684
NA,"3","5",-0.796951578416889,0.273414011465382
NA,"3","6",0.0800427076949039,14142.1356256196
