"study","treatment","r","n"
"1","1",19,336
"2","1",13,208
"3","1",19,211
"4","1",9,191
"5","1",23,290
"6","1",50,214
"7","3",19,358
"8","3",20,197
"9","3",14,523
"10","3",18,454
"11","1",23,107
"12","3",11,170
"13","3",1,153
"14","2",4,122
"15","1",3,91
"16","1",4,15
"17","2",2,60
"18","2",58,1703
"19","1",41,334
"20","3",6,237
"21","3",44,1962
"22","1",19,445
"23","3",65,3371
"24","3",9,335
"25","3",21,488
"26","3",0,36
"1","3",9,335
"2","2",3,212
"3","3",8,210
"4","3",6,87
"5","2",7,281
"6","3",20,225
"7","6",21,357
"8","6",21,188
"9","13",48,521
"10","11",23,462
"11","5",17,104
"12","4",14,167
"13","4",5,150
"14","3",3,131
"15","5",4,104
"16","6",3,13
"17","3",2,55
"18","9",42,1704
"19","13",32,334
"20","10",11,242
"21","9",52,1960
"22","5",20,426
"23","16",106,3335
"24","5",17,369
"25","5",44,485
"26","6",0,39
"1","5",16,336
"2",NA,NA,1
"3","5",25,552
"4",NA,NA,1
"5",NA,NA,1
"6","6",88,404
"7",NA,NA,1
"8",NA,NA,1
"9","14",48,521
"10",NA,NA,1
"11","12",20,114
"12","6",9,169
"13",NA,NA,1
"14","5",4,141
"15","8",1,90
"16","7",5,21
"17",NA,NA,1
"18",NA,NA,1
"19",NA,NA,1
"20","15",3,235
"21",NA,NA,1
"22",NA,NA,1
"23",NA,NA,1
"24",NA,NA,1
"25",NA,NA,1
"26",NA,NA,1
