"study","treatment","r","n"
"1","1",43,1081
"2","1",29,416
"3","1",140,1631
"4","1",75,3272
"5","1",302,6766
"6","1",176,2511
"7","1",200,2826
"8","1",8,196
"9","2",154,4870
"10","2",489,2646
"11","2",155,2883
"12","2",399,3472
"13","2",202,2721
"14","2",115,2175
"15","3",70,405
"16","3",97,1960
"17","3",799,7040
"18","3",251,5059
"19","3",665,8078
"20","3",380,5230
"21","3",320,3979
"22","4",845,5074
"1","2",34,2213
"2","2",20,424
"3","2",118,1578
"4","3",86,3297
"5","4",154,3954
"6","4",136,2508
"7","5",138,2800
"8","6",1,196
"9","4",177,4841
"10","5",449,2623
"11","5",102,2837
"12","5",335,3432
"13","6",163,2715
"14","6",93,2167
"15","4",32,202
"16","4",95,1965
"17","4",567,7072
"18","4",216,5095
"19","4",569,8098
"20","5",337,5183
"21","6",242,4020
"22","6",690,5087
"1","3",37,1102
"2",NA,NA,NA
"3",NA,NA,NA
"4",NA,NA,NA
"5","5",119,4096
"6",NA,NA,NA
"7",NA,NA,NA
"8",NA,NA,NA
"9",NA,NA,NA
"10",NA,NA,NA
"11",NA,NA,NA
"12",NA,NA,NA
"13",NA,NA,NA
"14",NA,NA,NA
"15","5",45,410
"16","5",93,1970
"17",NA,NA,NA
"18",NA,NA,NA
"19",NA,NA,NA
"20",NA,NA,NA
"21",NA,NA,NA
"22",NA,NA,NA
