"study","treatment","r","n"
"1","1",9,140
"2","2",11,78
"3","1",75,731
"4","1",2,106
"5","1",58,549
"6","1",0,33
"7","1",3,100
"8","1",1,31
"9","1",6,39
"10","1",79,702
"11","1",18,671
"12","1",64,642
"13","1",5,62
"14","1",20,234
"15","1",0,20
"16","1",8,116
"17","1",95,1107
"18","1",15,187
"19","1",78,584
"20","1",69,1177
"21","2",20,49
"22","2",7,66
"23","3",12,76
"24","3",9,55
"1","3",23,140
"2","3",12,85
"3","3",363,714
"4","3",9,205
"5","3",237,1561
"6","3",9,48
"7","3",31,98
"8","3",26,95
"9","3",17,77
"10","2",77,694
"11","2",21,535
"12","3",107,761
"13","3",8,90
"14","3",34,237
"15","4",9,20
"16","2",19,146
"17","3",143,1031
"18","3",35,504
"19","3",73,675
"20","3",54,888
"21","3",16,43
"22","4",32,127
"23","4",20,74
"24","4",3,26
"1","4",10,138
"2","4",29,170
"3",NA,NA,1
"4",NA,NA,1
"5",NA,NA,1
"6",NA,NA,1
"7",NA,NA,1
"8",NA,NA,1
"9",NA,NA,1
"10",NA,NA,1
"11",NA,NA,1
"12",NA,NA,1
"13",NA,NA,1
"14",NA,NA,1
"15",NA,NA,1
"16",NA,NA,1
"17",NA,NA,1
"18",NA,NA,1
"19",NA,NA,1
"20",NA,NA,1
"21",NA,NA,1
"22",NA,NA,1
"23",NA,NA,1
"24",NA,NA,1
