"study","treatment","r","n","y","sd"
NA,NA,9,140,NA,NA
NA,NA,23,140,NA,NA
NA,NA,10,138,NA,NA
NA,NA,11,78,NA,NA
NA,NA,12,85,NA,NA
NA,NA,29,170,NA,NA
NA,NA,75,731,NA,NA
NA,NA,363,714,NA,NA
NA,NA,2,106,NA,NA
NA,NA,9,205,NA,NA
NA,NA,58,549,NA,NA
NA,NA,237,1561,NA,NA
NA,NA,0,33,NA,NA
NA,NA,9,48,NA,NA
NA,NA,3,100,NA,NA
NA,NA,31,98,NA,NA
NA,NA,1,31,NA,NA
NA,NA,26,95,NA,NA
NA,NA,6,39,NA,NA
NA,NA,17,77,NA,NA
NA,NA,79,702,NA,NA
NA,NA,77,694,NA,NA
NA,NA,18,671,NA,NA
NA,NA,21,535,NA,NA
NA,NA,64,642,NA,NA
NA,NA,107,761,NA,NA
NA,NA,5,62,NA,NA
NA,NA,8,90,NA,NA
NA,NA,20,234,NA,NA
NA,NA,34,237,NA,NA
NA,NA,0,20,NA,NA
NA,NA,9,20,NA,NA
NA,NA,8,116,NA,NA
NA,NA,19,146,NA,NA
NA,NA,95,1107,NA,NA
NA,NA,134,1031,NA,NA
NA,NA,15,187,NA,NA
NA,NA,35,504,NA,NA
NA,NA,78,584,NA,NA
NA,NA,73,675,NA,NA
NA,NA,69,1177,NA,NA
NA,NA,54,888,NA,NA
NA,NA,20,49,NA,NA
NA,NA,16,43,NA,NA
NA,NA,7,66,NA,NA
NA,NA,32,127,NA,NA
NA,NA,12,76,NA,NA
NA,NA,20,74,NA,NA
NA,NA,9,55,NA,NA
NA,NA,3,26,NA,NA
